year,global_av_temp,minneapolis_av_temp,global_smoothed_temp,minneapolis_smoothed_temp
1907,7.95,3.95,8.2065000000000000,4.7030000000000000
1908,8.19,5.98,8.2115000000000000,4.8450000000000000
1909,8.18,4.75,8.2045000000000000,4.8155000000000000
1910,8.22,5.79,8.2170000000000000,4.8755000000000000
1911,8.18,5.23,8.2250000000000000,4.8790000000000000
1912,8.17,4.07,8.2300000000000000,4.8655000000000000
1913,8.30,5.51,8.2420000000000000,4.9660000000000000
1914,8.59,5.25,8.2635000000000000,4.9235000000000000
1915,8.59,5.50,8.2855000000000000,4.9660000000000000
1916,8.23,3.95,8.2865000000000000,4.9320000000000000
1917,8.02,2.94,8.2730000000000000,4.8495000000000000
1918,8.13,5.62,8.2705000000000000,4.8655000000000000
1919,8.38,5.03,8.2695000000000000,4.8900000000000000
1920,8.36,5.15,8.2625000000000000,4.8475000000000000
1921,8.57,6.85,8.2640000000000000,4.9265000000000000
1922,8.41,5.73,8.2695000000000000,4.9505000000000000
1923,8.42,5.56,8.2795000000000000,5.0260000000000000
1924,8.51,4.03,8.3005000000000000,5.0435000000000000
1925,8.53,5.23,8.3155000000000000,5.0685000000000000
1926,8.73,4.58,8.3330000000000000,5.0350000000000000
1927,8.52,4.43,8.3615000000000000,5.0590000000000000
1928,8.63,5.43,8.3835000000000000,5.0315000000000000
1929,8.24,3.98,8.3865000000000000,4.9930000000000000
1930,8.63,6.06,8.4070000000000000,5.0065000000000000
1931,8.72,8.24,8.4340000000000000,5.1570000000000000
1932,8.71,5.16,8.4610000000000000,5.2115000000000000
1933,8.34,5.64,8.4630000000000000,5.2180000000000000
1934,8.63,6.04,8.4650000000000000,5.2575000000000000
1935,8.52,5.03,8.4615000000000000,5.2340000000000000
1936,8.55,4.31,8.4775000000000000,5.2520000000000000
1937,8.70,4.60,8.5115000000000000,5.3350000000000000
1938,8.86,6.29,8.5480000000000000,5.3685000000000000
1939,8.76,6.11,8.5670000000000000,5.4225000000000000
1940,8.76,5.02,8.5870000000000000,5.4160000000000000
1941,8.77,6.60,8.5970000000000000,5.4035000000000000
1942,8.73,5.80,8.6130000000000000,5.4070000000000000
1943,8.76,4.82,8.6300000000000000,5.3700000000000000
1944,8.85,6.31,8.6470000000000000,5.4840000000000000
1945,8.58,4.70,8.6495000000000000,5.4575000000000000
1946,8.68,5.79,8.6470000000000000,5.5180000000000000
1947,8.80,5.49,8.6610000000000000,5.5710000000000000
1948,8.75,5.46,8.6670000000000000,5.5725000000000000
